Name	Type	Marker Name	Comment	Start	Duration	Color
MODULES_01-04_notes_sound	Sequence	VIDEO	Intro - Breatless(1) Duraction 1 min 48 sec <CHAPTER>	21:08:36;10	00:00:00;00	Blue
jMODULES_01-04_notes_sound	Sequence	SFX	Gun Shot i 5.1 vore fett	21:09:24;05	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	SFX	Swosh left to right channel 	21:09:26;13	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	breath i 5.1	21:09:32;08	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Swosh until it hits the road sign 	21:09:41;02	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	SFX	Gun Shot i 5.1 och kanske nagot ljud efter det	21:09:41;29	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	5.1 on the 3 gun shots	21:10:02;08	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Gate opens - beef it up w a cool door open sound w  LFE	21:10:15;10	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Beef up rewind sound cut out sound for a few frames	21:14:43;01	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Design	Air 	21:15:05;29	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air 	21:15:16;08	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air 	21:15:21;25	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air	21:15:27;09	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air	21:15:40;19	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air Canons 	21:15:44;25	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air	21:15:49;23	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air 	21:16:17;14	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air	21:16:18;06	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air	21:16:18;27	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air 	21:17:02;10	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air 	21:17:05;03	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air	21:17:07;02	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air	21:17:36;05	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air	21:17:40;29	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Air - Long burst 	21:18:39;04	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Maybe something can be added for the intro here. swish sounds or something. 	21:19:01;22	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	LFE add to the bass drop. 	21:23:09;26	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Maybe add a deep swosh drop to sync with lights	21:23:25;03	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Design	Pyro	21:23:55;17	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Pyro 	21:23:57;15	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Pyro 	21:24:01;05	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Design	Pyro 	21:24:04;24	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Add sfx and play with 5.1? 	21:24:45;27	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Add sfx 	21:24:49;09	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	5.1 on the knife sound	21:24:51;10	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	5.1 play around	21:24:54;19	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	sfx swosh for the girls arm movement	21:25:49;16	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	add a swosh drop for the light	21:26:42;13	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	SFT with LFE for B getting lowered? And 5.1 play to the beat?	21:26:45;01	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Add sfx for the flickering visuals	21:26:46;28	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	VIDEO BREAK - Competitors-Feminist	 <CHAPTER>	21:27:01;14	00:00:00;00	Blue
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	LFE rise for B getting raised out of the ground	21:28:36;20	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Match B head movement with 5.1?	21:28:42;06	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	"Bow down" 	21:28:58;09	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	5.1 travel around 	21:29:09;29	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	5.1 play around with the laser sound	21:30:07;15	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Marker 131	add SFX on this accent. 	21:30:13;24	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Add sfx impact on the landing	21:30:23;01	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Add sfx on B move back up	21:35:38;12	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Design	Add SFX to this dance break. maybe some SFX w LFE travel around 5.1	21:35:46;01	00:00:00;00	Red
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	Maybe sfx 's can be added here 	21:35:52;27	00:00:00;00	Orange
MODULES_01-04_notes_sound	Sequence	Sound Suggestion	SFX on Raise eevator and extend LFE?	21:36:45;16	00:00:00;00	Orange
